address,userName,category,total_score,rank_score,pnl_score,consistency_score,volume_score,recency_score,first_rank,last_rank,rank_change,first_pnl,last_pnl,pnl_change,pnl_growth_pct,appearances,avg_volume,days_tracked,score_rank
0xadb4e00b535ae36532764ddfcdbafe48a23f3214,PaulToy,economics,71.97,20.3,25.0,6.67,15.0,5.0,98,31,67,581.5703520376101,1766.1650125268245,1184.5946604892144,203.69,2,4351382.93,2,1
0xcb3143ee858e14d0b3fe40ffeaea78416e646b02,0xCB3143ee858E14d0B3FE40fFeaEa78416e646B0,economics,69.24,14.24,25.0,10.0,15.0,5.0,54,7,47,1234.3113522088388,39907.80748229957,38673.49613009073,3133.2,3,625876.04,4,2
0xdc4f08727c65afc4731b75cf1ed265666b7b4652,third-eye,economics,65.68,10.91,25.0,16.67,8.1,5.0,71,35,36,822.6878833300143,7722.336613061786,6899.648729731772,838.67,5,69068.76,4,3
0xbacd00c9080a82ded56f504ee8810af732b0ab35,ScottyNooo,economics,64.68,10.61,24.83,16.67,7.58,5.0,36,1,35,1666.1693176038084,4975.5291677375935,3309.359850133785,198.62,5,64606.64,3,4
0x814de45404c20dd9956737a83f7c8b0b039eb842,resfeber,economics,62.78,14.55,25.0,13.33,4.9,5.0,98,50,48,289.84679405786756,4825.785045688694,4535.938251630826,1564.94,4,41755.99,1,5
0x716d9e45e96fea7715387c8240a2b43e32a64206,0x716D9E45E96FeA7715387C8240a2b43e32a64206-1766378794699,economics,58.69,21.21,25.0,6.67,0.82,5.0,97,27,70,586.871076405183,1806.3429835399984,1219.4719071348154,207.79,2,6949.37,3,6
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,economics,58.33,6.67,25.0,6.67,15.0,5.0,95,73,22,670.8721073259367,3044.8301257101994,2373.9580183842627,353.86,2,349462.1,2,7
0x94cff0a688ca7b2e5b2602343c49bcd812123db3,Official-Market-Maker,economics,58.21,15.15,24.72,13.33,0.0,5.0,79,29,50,386.8755971754945,1151.8877982430276,765.0122010675332,197.74,4,33.09,3,8
0x6f33c65b69e368fb1801c1cf3e6d266a0741395c,Total1,economics,57.11,15.45,18.64,20.0,0.55,2.47,55,4,51,1215.2108218445574,3027.741132219002,1812.5303103744445,149.15,6,4664.9,5,9
0xcd71fd5370880f3d92bb941e628c05840fe0d127,Kevindoto,economics,54.98,8.18,25.0,16.67,0.14,5.0,88,61,27,679.6488945760066,3775.047600711012,3095.3987061350053,455.44,5,1151.9,4,10
0x908dbf0890987ada82b35ce0af3409c8979a1d99,PressC,economics,53.94,10.61,25.0,13.33,0.0,5.0,88,53,35,345.87855946449963,4322.166767552499,3976.288208087999,1149.62,4,0.0,1,11
0x96489abcb9f583d6835c8ef95ffc923d05a86825,anoin123,economics,53.78,0.0,25.0,16.67,7.12,5.0,1,40,-39,15.536954402115953,580.5180717950843,564.9811173929684,3636.37,5,60662.02,2,12
0xf5cfe6f998d597085e366f915b140e82e0869fc6,romanticpaul,economics,53.65,0.0,25.0,16.67,6.99,5.0,27,30,-3,2327.9958549411895,9359.183193997456,7031.187339056267,302.03,5,59554.39,4,13
0xc0198c97236deb16d672e59f374c886b8944eb47,0xc0198C97236DEb16d672e59f374c886b8944Eb47-1769081853021,economics,53.64,16.97,25.0,6.67,0.0,5.0,96,40,56,664.2418541465013,6606.513576376001,5942.2717222295,894.59,2,0.0,2,14
0xc4ecc62dcba4b855b6e6de09f4eb39385eb62493,BrazilianMemer,economics,52.07,19.7,20.7,6.67,0.0,5.0,79,14,65,779.9996987819904,2071.9845295110135,1291.984830729023,165.64,2,0.0,4,15
0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,influenz.eth,economics,50.46,9.7,4.1,16.67,15.0,5.0,51,19,32,1302.6751534202483,1729.549710636711,426.8745572164628,32.77,5,148476.32,6,16
0x4755188644460fc8140a18ccefc1e80b6a5e4158,schizohedgehog,economics,50.3,3.64,25.0,16.67,0.0,5.0,34,22,12,1891.3154345745131,12531.27747689302,10639.962042318506,562.57,5,0.0,4,17
0xc78c980527ba2f790cd4535e4dd0ecf501430c5a,bouncyonion44,economics,50.15,0.0,25.0,16.67,3.48,5.0,61,63,-2,1006.1924253367588,3617.0178209360074,2610.8253955992486,259.48,5,29701.56,4,18
0x69788e136500902559a2fb21883ab9baacbd08d8,TruongMyLan,economics,48.72,5.76,25.0,10.0,2.96,5.0,38,19,19,757.3473052604986,13586.983094284504,12829.635789024005,1694.02,3,25219.46,1,19
0x274e75b55aa3d8ef63e0edf9c9d4846e061e648c,saffin,economics,48.18,4.85,25.0,13.33,0.0,5.0,76,60,16,412.93469308449994,3797.102963051501,3384.168269967001,819.54,4,0.0,1,20
