address,userName,category,total_score,rank_score,pnl_score,consistency_score,volume_score,recency_score,first_rank,last_rank,rank_change,first_pnl,last_pnl,pnl_change,pnl_growth_pct,appearances,avg_volume,days_tracked,score_rank
0x6b3f0f764b3c74e8de8f87b04e3c327aca4443dc,Intern.,finance,76.86,27.27,25.0,14.29,5.3,5.0,98,8,90,421.21343881035864,1966.0835107045025,1544.8700718941438,366.77,5,11477.71,3,1
0x8575467a6743c81ef0a8d06acc76e99b454a87fe,products,finance,70.4,24.85,25.0,5.71,9.84,5.0,86,4,82,488.4885378479339,3045.732670168146,2557.244132320212,523.5,2,21302.03,2,2
0xff30ac5b2cb4822a1b15604ac90659ef71314a37,aldynspeedruns,finance,58.86,5.76,25.0,8.57,14.53,5.0,23,4,19,1228.8876142240006,5187.983431588002,3959.095817364001,322.17,3,31462.65,4,3
0xeef45ae52d83409118fc3979bfa828f3751b10ea,0xEEF45Ae52D83409118Fc3979BFa828f3751b10eA-1769506301093,finance,58.7,11.21,25.0,14.29,3.21,5.0,39,2,37,497.3778930543158,13672.6405827555,13175.262689701185,2648.94,5,6945.49,2,4
0x68c9623b8224c66632aded8159b7111614404c60,500AndADream,finance,57.69,21.82,25.0,5.71,0.16,5.0,93,21,72,234.70953561284975,1243.3990217945002,1008.6894861816504,429.76,2,344.8,2,5
0xbf8ca056b52d9263f22e82e4dc25797c2f1918fd,na6141mi3231bi321321a3213,finance,51.73,11.82,22.41,8.57,3.93,5.0,85,46,39,185.58544031543988,518.3239281279402,332.73848781250035,179.29,3,8511.42,0,6
0xa3ad70cf48a2f2b44163e798223c01a2c2536866,rated,finance,43.56,15.45,5.93,11.43,5.75,5.0,52,1,51,700.072824717412,1032.0118187784649,331.9389940610529,47.41,4,12446.04,6,7
0x7277ac5c4c24771d8ed0bcd75816e93800b1ab80,Xuxito,finance,42.99,17.27,0.0,5.71,15.0,5.0,75,18,57,573.8729031549028,391.4508209737578,-182.42208218114502,-31.79,2,35157.16,5,8
0xa82b0e89cf734e2fa70cbd52ca65c77d64595220,Mecky,finance,42.6,7.27,23.65,5.71,0.96,5.0,58,34,24,322.58515357800025,932.9432295059524,610.3580759279522,189.21,2,2081.44,2,9
0x9b7ac362d911e3483bdf0fb95a423278bc54bc22,Sociopathy,finance,41.23,10.3,19.82,5.71,0.39,5.0,80,46,34,257.166455522,664.9056475373028,407.7391920153028,158.55,2,850.54,2,10
0x9367d2afb0538fcb909259ed1e70386235e68b16,0x9367D2afB0538fCB909259ED1e70386235E68B16-1768908819394,finance,41.07,7.88,22.39,5.71,0.09,5.0,62,36,26,307.9596924708229,859.4846889390001,551.5249964681772,179.09,2,188.98,2,11
0xdb976ec8f75771f7af08d13546fe3d000867eee8,G.Hchen,finance,39.93,18.48,5.01,11.43,0.0,5.0,73,12,61,268.31053805499687,375.9324742280023,107.62193617300545,40.11,4,0.0,4,12
0xc9ee86471c95b62e3e1e3c56f5d6c7e40b209a18,Janusch,finance,38.65,14.55,7.29,11.43,0.38,5.0,78,30,48,559.8624327061793,886.4804600000007,326.61802729382134,58.34,4,830.23,3,13
0x42fa340061a94072a818e540c3e80d8148d81fc7,Trashbag,finance,38.22,12.73,0.0,20.0,0.49,5.0,74,32,42,579.2117253720012,196.53429652690653,-382.67742884509465,-66.07,7,1057.56,6,14
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,finance,34.29,0.0,0.0,14.29,15.0,5.0,1,33,-32,8469.806663910844,194.80764019226623,-8274.999023718578,-97.7,5,46171.67,4,15
0x90d1f174263a54c5ccc546c021bb85c3be9cf62a,0x90d1f174263A54C5CCc546C021BB85C3be9cf62A-1749603304574,finance,33.52,5.45,14.47,5.71,2.88,5.0,22,4,18,1239.5169857051346,2674.2663785605005,1434.7493928553658,115.75,2,6243.75,3,16
0xc6bebb909360248d5bf170a1e00ccb0efdeb43c9,GAIV,finance,33.43,9.39,4.68,14.29,0.07,5.0,58,27,31,662.3104568545,910.2453974364988,247.93494058199883,37.43,5,162.03,3,17
0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb,Albert 1953,finance,32.42,5.76,15.81,5.71,0.14,5.0,40,21,19,481.9150174264687,1091.5980547399922,609.6830373135235,126.51,2,298.04,1,18
0x622f181cecfc05fb358e33bae7601e8e153d9992,DOCW,finance,32.13,1.21,13.6,11.43,0.89,5.0,74,70,4,205.12157505711457,428.28964155416634,223.16806649705177,108.8,4,1933.47,1,19
0xebe6d42fbbd15b89ef9af70e459dd05e20679278,TraderNo11,finance,31.43,5.45,14.56,5.71,0.71,5.0,70,52,18,283.06631078252076,612.7902578565,329.7239470739793,116.48,2,1528.16,2,20
0x6af15c602b0584bf2e3656505aa6e1e27aa96d4b,2king,finance,31.43,0.0,0.0,11.43,15.0,5.0,10,32,-22,1000.0,1000.0,0.0,0.0,4,2599975.0,1,21
0xdc9e0ee3d430b799b3f929505f23e25fa1a0ba88,Damnboy007,finance,31.26,0.61,11.37,14.29,0.0,5.0,10,8,2,1725.4806238220008,3295.2018007004986,1569.7211768784978,90.97,5,0.0,2,22
0xd353c5971f18b51941a1d29ffdc2e63ca7fcf6ac,GoldMansacks,finance,30.73,0.3,11.14,14.29,0.0,5.0,6,5,1,2660.5355059999965,5032.405610500002,2371.8701045000053,89.15,5,0.0,2,23
0xdef69fbcd554109526ee9e925be31f6ad751f63a,DavidYeeTrades,finance,29.49,1.21,9.0,14.29,0.0,5.0,13,9,4,1506.4650549850005,2590.7550203575,1084.2899653724996,71.98,5,0.0,2,24
0x04d1889a8c7b29f85f856601cde820ae5b2e51af,Nomia,finance,29.13,0.0,6.85,5.71,11.56,5.0,69,69,0,287.76449700934813,445.5147465744567,157.75024956510856,54.82,2,25039.6,2,25
0xbb015bb4009b6a48bfb9363d9c9b1d54e9ab02e5,MistahFox,finance,28.08,0.0,0.0,11.43,11.65,5.0,23,84,-61,550.8753574622169,368.6177031765692,-182.25765428564773,-33.09,4,25233.56,1,26
0x31436bde35c25c3714e0c3e7fbd14a22107581b1,yyyyyyy,finance,27.38,16.67,0.0,5.71,0.0,5.0,72,17,55,419.1251419370019,304.9353502255108,-114.18979171149113,-27.24,2,0.0,2,27
0xc8c2e35222f6b28a794773c9cd15e61f5f882d1c,0xc8C2e35222F6b28a794773C9cD15e61f5f882d1C-1766087567531,finance,26.86,7.58,0.0,14.29,0.0,5.0,61,36,25,311.9088388399996,311.9088388399996,0.0,0.0,5,0.0,3,28
0x68fb1113db47e0d78385aece6da65236aedb32c3,0x68fB1113dB47e0D78385aECE6DA65236AEdB32c3-1768488373604,finance,26.77,16.06,0.0,5.71,0.0,5.0,98,45,53,339.5961798800008,169.79808993999995,-169.79808994000086,-50.0,2,0.0,2,29
0x5a7b3328e8756579bfd364ba92c5c589c7bae9eb,notssf3,finance,26.25,1.21,8.49,11.43,0.12,5.0,41,37,4,479.94673461962066,806.0696999905008,326.12296537088014,67.95,4,250.0,2,30
0x8361b39a5b65055fbb67a1f0327bc2d32db98e6d,brothercaptain,finance,26.09,9.7,5.38,5.71,0.3,5.0,66,34,32,590.0832148344998,843.9940392180001,253.9108243835003,43.03,2,647.12,3,31
0x69788e136500902559a2fb21883ab9baacbd08d8,TruongMyLan,finance,25.86,8.79,0.0,11.43,0.65,5.0,94,65,29,229.2661080806629,121.37483731349948,-107.8912707671634,-47.06,4,1401.77,4,32
0xeadf5963682dd237184f484da138ce74bfec26ef,0xEaDF5963682Dd237184F484DA138ce74bFeC26eF-1768801372213,finance,25.8,3.94,11.14,5.71,0.0,5.0,72,59,13,269.7200105059999,510.1779444004999,240.4579338945,89.15,2,0.0,2,33
