address,userName,category,total_score,rank_score,pnl_score,consistency_score,volume_score,recency_score,first_rank,last_rank,rank_change,first_pnl,last_pnl,pnl_change,pnl_growth_pct,appearances,avg_volume,days_tracked,score_rank
0x08c59894c5e32f0e5406799e49a9a33f4b7643ed,shan776,sports,77.14,21.52,25.0,17.14,8.68,4.8,87,16,71,-106.36170211925491,41225.707445149164,41332.06914726842,38859.92,6,186002.56,7,1
0xe60a9b0be459d9849bc2339dac20517639ae6a47,0xb7511d7b0dcb75ffad0507cbac7223653d08915,sports,70.24,16.67,25.0,8.57,15.0,5.0,69,14,55,-0.1662808696273714,42004.172825464746,42004.33910633437,25261077.36,3,916419.22,8,2
0x5c3a1a602848565bb16165fcd460b00c3d43020b,CoryLahey,sports,66.93,15.45,25.0,20.0,2.81,3.67,67,16,51,15010.996623676205,48704.76679302938,33693.77016935318,224.46,7,60135.99,6,3
0x44d4c6f385f1b0b738369e5a0b4ae4030e401970,Liquorme3,sports,66.79,25.15,25.0,8.57,3.07,5.0,92,9,83,9917.552662132484,79050.12071126164,69132.56804912916,697.07,3,65691.01,6,4
0xb55216ed55337cf9443139e4e5cace56426694a8,KirksCousin,sports,66.69,18.79,25.0,14.29,3.61,5.0,83,21,62,10270.864907922922,47668.955306578835,37398.09039865591,364.12,5,77381.97,4,5
0x507e52ef684ca2dd91f90a9d26d149dd3288beae,GamblingIsAllYouNeed,sports,65.1,3.64,25.0,20.0,15.0,1.47,25,13,12,0.2500000004656613,67818.26167365769,67818.01167365722,27127204.62,7,1314865.72,7,6
0xead152b855effa6b5b5837f53b24c0756830c76a,elkmonkey,sports,64.64,13.33,25.0,8.57,12.73,5.0,62,18,44,-0.0697769087273627,31966.0956729725,31966.165449881228,45811954.17,3,272748.92,8,7
0x1455445e9a775cfa3fe9fc4b02bb4d2f682ae5cd,c4c4,sports,64.35,13.64,25.0,5.71,15.0,5.0,51,6,45,1.0835365616949275,127033.82947520434,127032.74593864265,11723900.28,2,643551.09,3,8
0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,gmanas,sports,62.86,0.0,25.0,22.86,15.0,0.0,1,6,-5,106.66242871526627,156493.6004237011,156386.93799498584,146618.58,8,2260082.02,8,9
0xcd9bc2939f0dac121f6ccde59cca5e0b6a91414d,BITCOINTO500K,sports,62.86,0.0,25.0,22.86,15.0,0.0,10,32,-22,0.6453765811165795,25982.659711302724,25982.014334721607,4025868.79,8,589427.41,9,10
0xbb6613776b31359157607f8d985694ca13ed2f53,BDJL,sports,62.51,16.97,25.0,14.29,1.25,5.0,85,29,56,3617.924575651399,22139.07314391804,18521.148568266643,511.93,5,26840.51,2,11
0xd0b4c4c020abdc88ad9a884f999f3d8cff8ffed6,MrSparklySimpsons,sports,60.09,4.85,25.0,11.43,13.81,5.0,19,3,16,49042.80124869547,245878.09672177164,196835.29547307617,401.35,4,295841.44,6,12
0x1bc0d88ca86b9049cf05d642e634836d5ddf4429,212121212121212121212,sports,59.53,15.15,25.0,14.29,0.09,5.0,63,13,50,5268.217834460782,71725.21658156533,66456.99874710455,1261.47,5,1960.0,3,13
0x492442eab586f242b53bda933fd5de859c8a3782,0x492442EaB586F242B53bDa933fD5dE859c8A3782-1766317541188,sports,59.46,3.03,25.0,11.43,15.0,5.0,15,5,10,33312.25565000437,138798.46226770058,105486.20661769621,316.66,4,623764.99,3,14
0x7ac70e470049650997a2ba801adcbdc054bde0ef,0x7ac70e470049650997a2BA801aDcBDc054bdE0ef-1767626984576,sports,58.91,18.79,25.0,8.57,1.55,5.0,89,27,62,3471.6394598000115,36467.28183625735,32995.64237645734,950.43,3,33249.99,3,15
0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,kch123,sports,58.35,1.21,25.0,17.14,15.0,0.0,9,5,4,0.7499999990686774,177728.07271407358,177727.32271407451,23696976.39,6,1138245.72,7,16
0x20d6436849f930584892730c7f96ebb2ac763856,0x20D6436849F930584892730C7F96eBB2Ac763856-1768642056357,sports,57.48,0.0,25.0,17.14,15.0,0.33,3,23,-20,24.999999000050593,24372.431088316254,24347.431089316204,97389.73,6,735791.46,7,17
0xee613b3fc183ee44f9da9c05f53e2da107e3debf,sovereign2013,sports,57.14,0.0,25.0,17.14,15.0,0.0,19,34,-15,0.4446398457512259,24814.539547431516,24814.094907585764,5580717.78,6,1187531.15,9,18
0x6211f97a76ed5c4b1d658f637041ac5f293db89e,Tiger200,sports,57.04,6.97,25.0,5.71,14.36,5.0,35,12,23,14578.183328659972,72295.83893517533,57717.655606515356,395.92,2,307668.14,2,19
0x92672c80d36dcd08172aa1e51dface0f20b70f9a,ckw,sports,56.43,0.0,25.0,11.43,15.0,5.0,33,39,-6,0.1080188606865704,20642.486852867296,20642.37883400661,19109976.45,4,379768.7,9,20
